toa,toa_sub,Minority,Non-Minority,Unspecified,Ethnicity and Race Indicator - All,cube,quarter
Permanent,10-Competitive Service - Career,361764.0,730661.0,488.0,1092913.0,Diversity - September 2006,2006-09
Permanent,15-Competitive Service - Career-Conditional,51861.0,101354.0,184.0,153399.0,Diversity - September 2006,2006-09
Permanent,30-Excepted Service - Schedule A,11672.0,23449.0,11.0,35132.0,Diversity - September 2006,2006-09
Permanent,32-Excepted Service - Schedule B,11722.0,21621.0,30.0,33373.0,Diversity - September 2006,2006-09
Permanent,36-Excepted Service - Executive,,,,4.0,Diversity - September 2006,2006-09
Permanent,38-Excepted Service - Other,83180.0,202817.0,235.0,286232.0,Diversity - September 2006,2006-09
Permanent,50-Senior Executive Service - Career,1010.0,5331.0,,6344.0,Diversity - September 2006,2006-09
Permanent,55-Senior Executive Service - Non-Career,69.0,572.0,,641.0,Diversity - September 2006,2006-09
Permanent,**-Unspecified,44.0,75.0,,119.0,Diversity - September 2006,2006-09
Permanent,Permanent,521323.0,1085883.0,951.0,1608157.0,Diversity - September 2006,2006-09
Non-permanent,20-Competitive Service,7666.0,20512.0,34.0,28212.0,Diversity - September 2006,2006-09
Non-permanent,40-Excepted Service - Schedule A,6860.0,11833.0,11.0,18704.0,Diversity - September 2006,2006-09
Non-permanent,42-Excepted Service - Schedule B,3092.0,6081.0,20.0,9193.0,Diversity - September 2006,2006-09
Non-permanent,44-Excepted Service - Schedule C,199.0,1406.0,,1605.0,Diversity - September 2006,2006-09
Non-permanent,46-Excepted Service - Executive,84.0,443.0,,528.0,Diversity - September 2006,2006-09
Non-permanent,48-Excepted Service - Other,11180.0,20291.0,140.0,31611.0,Diversity - September 2006,2006-09
Non-permanent,60-Senior Executive Service - Limited Term,12.0,101.0,,113.0,Diversity - September 2006,2006-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,5.0,,6.0,Diversity - September 2006,2006-09
Non-permanent,Non-permanent,29094.0,60672.0,206.0,89972.0,Diversity - September 2006,2006-09
Unspecified,Unspecified,49.0,129.0,,178.0,Diversity - September 2006,2006-09
Permanent,10-Competitive Service - Career,367310.0,728349.0,627.0,1096286.0,Diversity - September 2007,2007-09
Permanent,15-Competitive Service - Career-Conditional,52300.0,95451.0,271.0,148022.0,Diversity - September 2007,2007-09
Permanent,30-Excepted Service - Schedule A,11959.0,23352.0,15.0,35326.0,Diversity - September 2007,2007-09
Permanent,32-Excepted Service - Schedule B,15020.0,24961.0,131.0,40112.0,Diversity - September 2007,2007-09
Permanent,36-Excepted Service - Executive,,8.0,,10.0,Diversity - September 2007,2007-09
Permanent,38-Excepted Service - Other,85022.0,205824.0,236.0,291082.0,Diversity - September 2007,2007-09
Permanent,50-Senior Executive Service - Career,1049.0,5493.0,4.0,6546.0,Diversity - September 2007,2007-09
Permanent,55-Senior Executive Service - Non-Career,60.0,611.0,6.0,677.0,Diversity - September 2007,2007-09
Permanent,**-Unspecified,34.0,64.0,,98.0,Diversity - September 2007,2007-09
Permanent,Permanent,532756.0,1084113.0,1290.0,1618159.0,Diversity - September 2007,2007-09
Non-permanent,20-Competitive Service,7742.0,22212.0,86.0,30040.0,Diversity - September 2007,2007-09
Non-permanent,40-Excepted Service - Schedule A,5253.0,10243.0,8.0,15504.0,Diversity - September 2007,2007-09
Non-permanent,42-Excepted Service - Schedule B,3024.0,6283.0,41.0,9348.0,Diversity - September 2007,2007-09
Non-permanent,44-Excepted Service - Schedule C,199.0,1427.0,12.0,1638.0,Diversity - September 2007,2007-09
Non-permanent,46-Excepted Service - Executive,78.0,441.0,,520.0,Diversity - September 2007,2007-09
Non-permanent,48-Excepted Service - Other,12813.0,23295.0,82.0,36190.0,Diversity - September 2007,2007-09
Non-permanent,60-Senior Executive Service - Limited Term,13.0,107.0,,121.0,Diversity - September 2007,2007-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,5.0,,7.0,Diversity - September 2007,2007-09
Non-permanent,Non-permanent,29124.0,64013.0,231.0,93368.0,Diversity - September 2007,2007-09
Unspecified,Unspecified,47.0,125.0,,173.0,Diversity - September 2007,2007-09
Permanent,10-Competitive Service - Career,376649.0,730484.0,576.0,1107709.0,Diversity - September 2008,2008-09
Permanent,15-Competitive Service - Career-Conditional,57861.0,101730.0,195.0,159786.0,Diversity - September 2008,2008-09
Permanent,30-Excepted Service - Schedule A,12757.0,24369.0,13.0,37139.0,Diversity - September 2008,2008-09
Permanent,32-Excepted Service - Schedule B,19749.0,33026.0,150.0,52925.0,Diversity - September 2008,2008-09
Permanent,36-Excepted Service - Executive,,14.0,,17.0,Diversity - September 2008,2008-09
Permanent,38-Excepted Service - Other,91919.0,216063.0,177.0,308159.0,Diversity - September 2008,2008-09
Permanent,50-Senior Executive Service - Career,1105.0,5741.0,,6849.0,Diversity - September 2008,2008-09
