toa,toa_sub,Female,Gender - All,Male,Unspecified,cube,quarter
Permanent,10-Competitive Service - Career,532059.0,1199182.0,667118.0,,Employment - September 1998,1998-09
Permanent,15-Competitive Service - Career-Conditional,35283.0,83883.0,48599.0,,Employment - September 1998,1998-09
Permanent,30-Excepted Service - Schedule A,11888.0,31499.0,19611.0,,Employment - September 1998,1998-09
Permanent,32-Excepted Service - Schedule B,2243.0,6346.0,4103.0,,Employment - September 1998,1998-09
Permanent,36-Excepted Service - Executive,,13.0,,,Employment - September 1998,1998-09
Permanent,38-Excepted Service - Other,84269.0,228685.0,144415.0,,Employment - September 1998,1998-09
Permanent,50-Senior Executive Service - Career,1243.0,6185.0,4942.0,,Employment - September 1998,1998-09
Permanent,55-Senior Executive Service - Non-Career,263.0,661.0,398.0,,Employment - September 1998,1998-09
Permanent,**-Unspecified,36.0,77.0,41.0,,Employment - September 1998,1998-09
Permanent,Permanent,667289.0,1556531.0,889235.0,,Employment - September 1998,1998-09
Non-permanent,20-Competitive Service,18980.0,43689.0,24708.0,,Employment - September 1998,1998-09
Non-permanent,40-Excepted Service - Schedule A,8480.0,14704.0,6224.0,,Employment - September 1998,1998-09
Non-permanent,42-Excepted Service - Schedule B,3633.0,7188.0,3555.0,,Employment - September 1998,1998-09
Non-permanent,44-Excepted Service - Schedule C,746.0,1338.0,592.0,,Employment - September 1998,1998-09
Non-permanent,46-Excepted Service - Executive,152.0,548.0,396.0,,Employment - September 1998,1998-09
Non-permanent,48-Excepted Service - Other,9192.0,19931.0,10739.0,,Employment - September 1998,1998-09
Non-permanent,60-Senior Executive Service - Limited Term,52.0,156.0,104.0,,Employment - September 1998,1998-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 1998,1998-09
Non-permanent,Non-permanent,41239.0,87563.0,46323.0,,Employment - September 1998,1998-09
Unspecified,Unspecified,17.0,77.0,47.0,13.0,Employment - September 1998,1998-09
Permanent,10-Competitive Service - Career,519123.0,1168288.0,649157.0,,Employment - September 1999,1999-09
Permanent,15-Competitive Service - Career-Conditional,40835.0,93844.0,53007.0,,Employment - September 1999,1999-09
Permanent,30-Excepted Service - Schedule A,12223.0,32165.0,19942.0,,Employment - September 1999,1999-09
Permanent,32-Excepted Service - Schedule B,2480.0,7660.0,5180.0,,Employment - September 1999,1999-09
Permanent,36-Excepted Service - Executive,,14.0,,,Employment - September 1999,1999-09
